,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,clusters,cluster
0,49.24773,-123.10509,150,3,260,1.61,2,150,4,0,pink
1,49.28201,-123.12669,227,1,454,2.88,1,247,19,2,dark purple
2,49.25622,-123.06607,150,30,98,0.67,1,121,5,0,pink
3,49.24922,-123.08139,150,3,34,0.22,1,0,0,0,pink
4,49.27921,-123.08835,134,30,266,1.64,4,187,7,2,dark purple
5,49.27721,-123.04086,350,3,7,0.12,1,282,2,2,dark purple
6,49.25277,-123.03774,195,5,7,0.05,1,55,0,0,pink
7,49.26132,-123.10845,94,5,203,1.56,1,0,0,0,pink
8,49.24781,-123.07241,150,30,0,0.0,1,0,0,0,pink
9,49.26557,-123.096,51,30,118,0.79,1,231,0,2,dark purple
10,49.27569,-123.07057,141,1,477,3.26,1,118,59,0,pink
11,49.28299,-123.13008,95,30,130,0.88,4,239,5,2,dark purple
12,49.27323,-123.12032,250,30,2,0.17,1,186,2,2,dark purple
13,49.25636,-123.08636,99,30,78,0.48,1,212,3,2,dark purple
14,49.23361,-123.05283,83,30,383,2.64,3,69,32,0,pink
15,49.23442,-123.05307,107,30,226,1.6,3,82,5,0,pink
16,49.26216,-123.1715,160,30,16,0.13,2,311,0,2,dark purple
17,49.28086,-123.12375,169,30,40,0.28,4,169,2,2,dark purple
18,49.2792,-123.105,127,30,87,0.56,2,283,3,2,dark purple
19,49.24677,-123.1048,175,4,120,0.82,1,233,35,2,dark purple
20,49.2729,-123.06973,125,2,552,3.54,1,270,65,2,dark purple
21,49.28036,-123.1234,175,30,34,0.22,4,58,2,0,pink
22,49.28692,-123.13227,320,30,40,0.27,1,213,0,2,dark purple
23,49.27836,-123.08716,518,3,33,0.34,4,7,7,1,purple
24,49.27345,-123.07031,210,7,12,0.09,1,167,0,2,dark purple
25,49.27591,-123.12359,129,30,20,0.14,1,222,2,2,dark purple
26,49.2452,-123.16544,165,2,742,4.98,2,263,52,2,dark purple
27,49.27936,-123.12443,169,30,270,1.83,1,32,3,0,pink
28,49.24615,-123.09462,115,3,618,4.28,1,161,58,0,pink
29,49.24356,-123.04757,40,30,44,0.31,5,206,1,2,dark purple
30,49.26262921,-123.1044384,125,6,155,1.07,1,141,20,0,pink
31,49.25757,-123.18966,175,2,217,1.51,1,8,29,0,pink
32,49.28034,-123.12648,400,10,7,0.12,1,0,0,1,purple
33,49.2634,-123.0712,250,7,13,0.12,1,158,0,2,dark purple
34,49.2719,-123.15043,320,2,245,2.98,3,250,28,2,dark purple
35,49.29103,-123.05782,100,30,1,0.01,1,203,0,2,dark purple
36,49.28375,-123.10383,250,6,84,0.68,1,5,10,0,pink
37,49.26293,-123.17143,153,30,24,0.19,2,41,0,0,pink
38,49.23273,-123.02747,108,2,84,0.65,2,59,12,0,pink
39,49.27608,-123.12452,164,30,154,1.13,2,134,7,0,pink
40,49.28244,-123.12293,168,30,71,0.52,2,32,0,0,pink
41,49.27634,-123.11825,251,2,46,0.34,6,354,2,2,dark purple
42,49.27799,-123.07101,48,30,59,0.45,1,99,2,0,pink
43,49.2332,-123.0551,69,30,249,1.83,3,128,20,0,pink
44,49.28211,-123.10453,289,3,134,1.0,1,253,30,2,dark purple
45,49.28063,-123.12502,208,30,270,2.0,3,61,8,0,pink
46,49.22834,-123.03047,136,2,49,0.37,6,365,4,2,dark purple
47,49.23034,-123.02971,131,2,41,0.31,6,365,5,2,dark purple
48,49.28586,-123.05563,257,3,5,0.04,1,40,2,0,pink
49,49.28241,-123.10381,400,2,205,1.71,1,296,31,1,purple
50,49.28052,-123.12691,367,2,1,0.01,2,365,0,2,dark purple
51,49.25099,-123.07457,375,9,35,0.26,2,120,4,1,purple
52,49.27741,-123.12292,210,30,3,0.02,41,315,0,2,dark purple
53,49.25759,-123.06393,500,1,75,0.63,1,296,30,1,purple
54,49.27917,-123.06246,80,30,194,1.46,1,28,2,0,pink
55,49.27066,-123.18291,256,2,178,1.35,1,309,10,2,dark purple
56,49.26775,-123.06862,110,30,64,0.49,1,109,2,0,pink
57,49.29178,-123.14175,160,30,71,0.58,1,244,5,2,dark purple
58,49.2506,-123.07175,52,30,24,0.2,2,0,2,0,pink
59,49.27945,-123.10875,140,3,175,1.38,1,0,2,0,pink
60,49.28104,-123.13621,135,30,90,0.74,1,239,5,2,dark purple
61,49.28059,-123.1364,220,1,189,3.04,1,332,38,2,dark purple
62,49.2493764,-123.0899203,116,30,0,0.0,1,36,0,0,pink
63,49.25996,-123.16653,125,2,78,0.65,1,0,0,0,pink
64,49.24438,-123.04453,70,4,217,1.71,1,12,35,0,pink
65,49.27835083,-123.1224136,180,30,8,0.07,41,314,3,2,dark purple
66,49.27835083,-123.1224136,300,30,9,0.07,41,317,1,2,dark purple
67,49.26186,-123.17438,120,30,59,0.46,4,224,5,2,dark purple
68,49.26355,-123.17326,104,14,80,0.62,4,9,8,0,pink
69,49.26213,-123.17482,134,30,3,0.02,4,252,0,2,dark purple
70,49.28087,-123.13525,30,30,0,0.0,1,0,0,0,pink
71,49.25804,-123.12119,78,30,23,0.19,3,223,0,2,dark purple
72,49.25785,-123.12199,139,8,67,0.55,1,66,9,0,pink
73,49.27073,-123.16325,375,7,35,0.28,1,17,3,1,purple
74,49.24803,-123.18517,130,3,255,2.04,1,165,37,0,pink
75,49.27744,-123.11524,444,30,10,0.08,6,365,0,1,purple
76,49.23569,-123.10987,219,1,7,0.06,4,0,0,0,pink
77,49.26648,-123.15939,121,4,39,1.36,2,100,16,0,pink
78,49.27489,-123.12654,83,30,9,0.09,34,0,0,0,pink
79,49.28837,-123.12766,111,30,15,0.12,34,0,2,0,pink
80,49.25674,-123.0874,108,2,339,2.75,1,277,34,2,dark purple
81,49.2804,-123.08908,130,30,218,1.76,4,281,3,2,dark purple
82,49.27747,-123.12098,80,30,109,0.88,2,65,7,0,pink
83,49.27703,-123.12692,80,30,149,1.21,2,65,6,0,pink
84,49.27241,-123.06332,125,2,106,0.86,1,76,29,0,pink
85,49.24166,-123.0407,86,2,77,0.89,1,7,19,0,pink
86,49.26110077,-123.1595459,560,7,43,0.36,1,19,3,1,purple
87,49.28239,-123.13021,95,30,61,0.5,4,302,1,2,dark purple
88,49.27925,-123.08814,160,3,314,2.56,1,221,25,2,dark purple
89,49.26957,-123.04828,104,3,71,1.19,1,133,22,0,pink
90,49.24965,-123.07027,197,7,111,0.92,1,14,17,0,pink
91,49.26716,-123.17653,450,5,16,0.15,2,173,4,1,purple
92,49.26731,-123.06909,269,3,231,1.91,1,202,28,2,dark purple
93,49.26596,-123.06844,520,4,11,0.09,1,171,4,1,purple
94,49.28478,-123.1192,275,2,545,4.51,2,257,55,2,dark purple
95,49.26889,-123.18543,150,30,40,0.33,2,40,1,0,pink
96,49.26719,-123.10982,399,5,7,0.06,1,0,2,1,purple
97,49.27627,-123.10013,95,1,55,0.58,1,0,0,0,pink
98,49.28247,-123.13068,95,30,69,0.63,4,358,3,2,dark purple
99,49.284,-123.11432,100,30,118,0.98,3,205,5,2,dark purple
100,49.25808,-123.07538,160,5,18,0.15,3,4,2,0,pink
101,49.27932,-123.12911,273,4,169,1.41,1,70,41,0,pink
102,49.26026,-123.20135,141,3,99,1.17,2,25,16,0,pink
103,49.28284,-123.12335,250,30,16,0.13,2,50,6,0,pink
104,49.27393,-123.10069,200,30,1,0.16,1,117,1,0,pink
105,49.26964,-123.11064,450,30,13,0.12,1,172,1,1,purple
106,49.28164,-123.11006,199,30,14,0.13,1,89,0,0,pink
107,49.24882,-123.09121,81,3,322,2.69,1,210,37,2,dark purple
108,49.29101,-123.14085,80,30,15,0.14,34,0,4,0,pink
109,49.25935559,-123.0613136,191,2,175,1.47,1,260,35,2,dark purple
110,49.24001,-123.08278,162,7,2,0.04,1,103,1,0,pink
111,49.25259,-123.09292,95,3,316,2.66,1,157,36,0,pink
112,49.25225,-123.10756,85,30,141,1.28,1,165,7,0,pink
113,49.28167,-123.10984,250,30,5,0.04,1,295,0,2,dark purple
114,49.26548,-123.14579,180,30,2,0.15,1,299,1,2,dark purple
115,49.24778,-123.09867,250,2,334,2.88,1,132,36,0,pink
116,49.27781,-123.10637,297,1,108,5.05,1,177,68,2,dark purple
117,49.24489,-123.10302,90,30,71,0.62,1,112,4,0,pink
