,listing_id,variable,value
0,13188,price,150.0
1,13358,price,227.0
2,13490,price,150.0
3,14267,price,150.0
4,14424,price,134.0
5,16254,price,350.0
6,17158,price,195.0
7,17765,price,94.0
8,18024,price,150.0
9,18270,price,51.0
10,18589,price,141.0
11,18795,price,95.0
12,19621,price,250.0
13,20085,price,99.0
14,21912,price,83.0
15,21913,price,107.0
16,24273,price,160.0
17,26047,price,169.0
18,32746,price,127.0
19,33150,price,175.0
20,35304,price,125.0
21,42645,price,175.0
22,69763,price,320.0
23,70453,price,518.0
24,72659,price,210.0
25,73841,price,129.0
26,77157,price,165.0
27,98830,price,169.0
28,125176,price,115.0
29,134688,price,40.0
30,140698,price,125.0
31,170137,price,175.0
32,172827,price,400.0
33,196722,price,250.0
34,219261,price,320.0
35,248014,price,100.0
36,254657,price,250.0
37,256178,price,153.0
38,306178,price,108.0
39,322824,price,164.0
40,323090,price,168.0
41,359942,price,251.0
42,377706,price,48.0
43,415700,price,69.0
44,436032,price,289.0
45,448104,price,208.0
46,461370,price,136.0
47,461386,price,131.0
48,464172,price,257.0
49,475296,price,400.0
50,485225,price,367.0
51,498112,price,375.0
52,507767,price,210.0
53,540348,price,500.0
54,557357,price,80.0
55,625396,price,256.0
56,648026,price,110.0
57,654744,price,160.0
58,654763,price,52.0
59,703179,price,140.0
60,713271,price,135.0
61,735468,price,220.0
62,754118,price,116.0
63,755558,price,125.0
64,763445,price,70.0
65,771366,price,180.0
66,771380,price,300.0
67,784153,price,120.0
68,785297,price,104.0
69,785752,price,134.0
70,796603,price,30.0
71,801222,price,78.0
72,874731,price,139.0
73,875309,price,375.0
74,885600,price,130.0
75,958090,price,444.0
76,961006,price,219.0
77,961831,price,121.0
78,980511,price,83.0
79,995174,price,111.0
80,1012385,price,108.0
81,1015935,price,130.0
82,1021607,price,80.0
83,1021669,price,80.0
84,1032892,price,125.0
85,1061895,price,86.0
86,1113551,price,560.0
87,1118858,price,95.0
88,1141457,price,160.0
89,1178149,price,104.0
90,1187929,price,197.0
91,1191143,price,450.0
92,1214617,price,269.0
93,1229506,price,520.0
94,1273760,price,275.0
95,1291394,price,150.0
96,1309315,price,399.0
97,1343411,price,95.0
98,1343519,price,95.0
99,1360765,price,100.0
100,1361276,price,160.0
101,1365609,price,273.0
102,1378220,price,141.0
103,1380472,price,250.0
104,1393599,price,200.0
105,1399744,price,450.0
106,1466647,price,199.0
107,1507975,price,81.0
108,1525113,price,80.0
109,1610084,price,191.0
110,1620084,price,162.0
111,1623556,price,95.0
112,1629480,price,85.0
113,1657214,price,250.0
114,1703616,price,180.0
115,1717967,price,250.0
116,1733307,price,297.0
117,1768817,price,90.0
118,1820919,price,395.0
119,1830733,price,150.0
120,1850984,price,300.0
121,1869071,price,88.0
122,1936740,price,113.0
123,1950844,price,261.0
124,1995592,price,110.0
125,2011559,price,575.0
126,2033952,price,99.0
127,2041582,price,223.0
128,2042431,price,149.0
129,2046259,price,219.0
130,2056676,price,110.0
131,2092610,price,150.0
132,2163742,price,103.0
133,2168943,price,175.0
134,2183209,price,175.0
135,2188113,price,500.0
136,2216062,price,105.0
137,2273714,price,150.0
138,2365994,price,150.0
139,2374164,price,249.0
140,2439607,price,195.0
141,2454353,price,125.0
142,2472791,price,270.0
143,2493042,price,133.0
144,2502137,price,90.0
145,2520259,price,120.0
146,2521520,price,160.0
147,2532975,price,255.0
148,2576878,price,90.0
